SampType,ParkCode,NETNCode,Description,Latitude,Longitude,Date,SampEventCode,Year,Rep,Depth_m,Temp_C,DO_mgL,DO_PerSat,pH,SpCond,Turbidity,Discharge,pH,ANC,AppColor,DOC,TP,TN,NO3,NO2,NH3,NO3_ueqL,Cl,SO4
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,10/14/2008,216,2008,,0.24,11.59,8.87,81.5,5.88,26,,0.413,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,5/4/2010,3184,2010,,0.11,20.38,8.75,97,6.27,30,,0.463,6.68,139.00,51,,13,0.247,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36506271,68.27233887,6/2/2010,3196,2010,,0.11,20.99,7.74,86.8,6.27,29,,0.313,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36507797,-68.27249908,7/8/2010,3213,2010,,0.08,28.27,5.78,74.2,6.2,39,,0.146,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36503601,-68.27253723,8/2/2010,3270,2010,,0.26,26.32,6.82,84.5,6.16,35,,0.194,6.47,188.00,75,,16,0.453,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36506653,-68.27251434,9/13/2010,3286,2010,,0.07,15.84,6.44,65,6.09,37,,0.096,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36504745,-68.2725296,10/6/2010,3295,2010,,0.16,13.12,6.99,66.5,5.89,34,,0.591,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36499405,-68.27248383,5/9/2012,3461,2012,,0.23,9.61,10,87.8,5.9,21,0.46,17.7,6.2,55.40,52,5.29,6.6,0.182,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,74,29
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36506653,-68.27243805,6/26/2012,3473,2012,,0.38,15.44,7.83,78.4,5.77,19,0.54,13.955,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36502457,-68.27249908,7/11/2012,3485,2012,,0.36,27.64,6.31,80.1,6.18,36,2.41,0.227,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36509705,-68.27250671,8/6/2012,3526,2012,,-0.12,25.5,6.04,73.7,6.14,44,0.44,0.163,6.57,221.00,86,7.23,20,0.456,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,106,25
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.3650322,68.27236176,9/6/2012,3539,2012,,0.18,17.19,6.13,63.7,5.64,30,0.22,1.43,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.36502075,-68.27243042,10/4/2012,3552,2012,,0.19,14.66,7.18,70.7,5.77,29,0,1.2,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.3652,-68.2724,5/13/2014,227,2014,,0.19,17.8,8.44,88.8,,28,0.37,0.739,6.55,91.60,43,4.33,6.8,0.202,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,91,31
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365,-68.2725,6/5/2014,237,2014,,0.40,15.6,4.93,49.5,6.44,46,0.35,0.274,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365,68.5667,7/14/2014,248,2014,,0.19,21.2,6.14,69.1,6.19,30,0.37,0.242,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,,,8/14/2014,262,2014,,0.26,17.17,7.52,78.1,6.54,35,0.79,1.35,6.7,191.69,64,5.48,11.6,0.278,<MRL,<MRL 0.001,0.012,<MRL 1,97,1.5
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365,-68.2725,9/10/2014,272,2014,,0.17,17.07,5.41,56.1,6.18,40,0.58,0,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.3651,-68.2725,10/8/2014,280,2014,,0.20,14.28,8.89,86.8,6.2,34,0.69,0,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,,,5/25/2006,67,2006,,0.23,15.58,9.27,93.1,6.73,31,,1.31,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,6/26/2006,6,2006,,0.25,20.89,8.47,94.8,6.66,30,,3.08,,,20,,<MRL 20,0.21,,<MRL 0.002,0.005,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,7/24/2006,16,2006,,0.19,22.19,8.38,96.2,6.7,25,,8.33,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,8/31/2006,30,2006,,0.04,15,9.16,90.9,6.31,39,,0.207,,,18,,3,0.24,,<MRL 0.002,<MRL 0.01,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,9/13/2006,49,2006,,0.04,15.65,9.18,92.3,6.68,39,,0.168,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.411083,-68.251884,10/19/2006,55,2006,,0.05,12.22,10.5,97.9,6.49,33,,8.23,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,5/12/2008,151,2008,,0.04,16.78,9.39,96.7,6.73,35,,0.893,6.87,117.00,16,,3.3,<MRL 0.1,,<MRL 0.005,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.410831,-68.251671,6/12/2008,166,2008,,0.33,17.8,9.01,94.8,6.77,41,,0.45,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.410797,-68.251869,7/11/2008,178,2008,,0.19,19.6,6.85,74.7,6.76,59,,,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.410839,-68.251785,8/5/2008,186,2008,,0.14,20.62,8.57,95.4,6.52,32,,5.68,6.64,96.50,39,,8.2,0.205,,<MRL 0.005,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,9/3/2008,195,2008,,0.33,17.14,8.32,86.4,6.66,47,,0.256,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.410835,-68.251823,10/6/2008,209,2008,,0.33,9.82,10.83,95.5,6.45,30,,2.62,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41081619,-68.25180817,5/6/2010,3187,2010,,0.10,13.69,9.4,90.5,6.56,38,,0.82,6.96,163.00,31,,6,0.191,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,6/10/2010,3202,2010,,0.14,14.95,9.51,94.2,6.73,36,,1.41,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41075516,-68.25189972,7/5/2010,3209,2010,,0.07,21.83,7.63,87,6.77,50,,0.424,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41082001,-68.25196075,8/4/2010,3273,2010,,0.17,22.38,7.95,91.7,6.88,50,,0.555,7.2,241.00,31,,6.4,0.205,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41105652,-68.25161743,9/9/2010,3282,2010,,-0.04,18.58,8.2,87.7,6.72,52,,0.186,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,0,0,10/7/2010,3298,2010,,-0.03,13.12,9.88,94,6.53,39,,4.31,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41073608,-68.25180817,5/7/2012,3458,2012,,0.16,15.29,9.81,97.9,6.75,35,0.7,2.189,6.84,110.00,27,2.75,5.3,0.11,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,141,37
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41073608,-68.25184631,6/21/2012,3470,2012,,-0.05,20.58,7.95,88.5,6.74,45,0.99,0.273,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41082382,-68.25189209,7/9/2012,3481,2012,,0.24,19.34,7.99,86.7,6.72,45,0.82,0.388,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41078186,-68.25180054,8/13/2012,3533,2012,,-0.04,20.89,7.9,88.4,6.78,56,0.77,0.146,7.17,349.00,31,3.13,6,0.294,0.103,<MRL 0.005,<MRL 0.08,7.3,128,23
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41079712,-68.25188446,9/11/2012,3542,2012,,0.09,17.5,8.99,94,6.69,39,0.86,0.649,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.41073608,-68.25202179,10/9/2012,3555,2012,,0.34,12.2,10.99,102.4,6.33,32,0.83,2.26,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4108,-68.252,5/12/2014,226,2014,,0.18,18.18,9.08,96.3,,39,0.66,1.479,6.83,112.00,24,2.31,5.1,0.138,0.018,<MRL 0.005,<MRL 0.08,1.3,164,37
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4107,-68.2519,6/3/2014,234,2014,,0.18,19.93,8.78,96.4,6.88,44,0.66,0.546,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4108,68.2517,7/10/2014,247,2014,,0.19,24.43,7.72,92.5,6.86,44,0.43,1.52,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4109,-68.2518,8/5/2014,257,2014,,0.04,23.22,7.92,92.7,7.08,49,0.37,0.276,7.1,213.35,18,3.04,3.7,0.313,0.072,<MRL 0.001,0.018,5.1,167,17
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4109,-68.2518,9/8/2014,269,2014,,0.07,15.26,9.31,92.8,6.87,57,0.23,0.035,,,,,,,,,,,,
NETNStreams,ACAD,ACBRKB,Breakneck Brook,44.4109,-68.2519,10/7/2014,279,2014,,0.09,12.34,9.55,89.3,6.91,64,0.09,0.161,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,5/8/2007,84,2007,,0.26,5.92,12.95,103.9,6.69,129,,0.547,6.38,44.00,4,,2.9,<MRL 0.1,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,7/2/2007,89,2007,,0.08,13.8,9.71,93.9,6.22,201,,0.062,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,7/23/2007,99,2007,,0.15,15.57,9.2,92.4,6.04,204,,0.273,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,8/14/2007,115,2007,,0.04,15.84,9.04,91.3,5.89,198,,0.054,6.71,102.00,3,,3.1,<MRL 0.1,,0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,9/14/2007,129,2007,,-0.01,13.47,9.69,93,6.42,204,,0.058,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,10/16/2007,145,2007,,0.13,8.37,11.47,97.8,6.76,156,,0.131,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339272,-68.301483,5/4/2009,3081,2009,,0.38,9.78,11.34,99.9,6.54,120,,0.347,6.54,54.40,6,,2.4,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339298,-68.301353,6/4/2009,3097,2009,,0.06,11.03,10.94,99.3,6.54,114,,0.536,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339111,-68.30143,7/9/2009,3109,2009,,0.51,12.38,10.72,100.4,6.4,65,,1.06,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339264,-68.301476,8/12/2009,3120,2009,,0.36,16.11,9.7,98.5,6.49,109,,0.213,6.94,102.00,10,,1.9,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339264,-68.301476,8/12/2009,3120,2009,,0.36,16.11,9.7,98.5,6.49,109,,0.213,6.86,103.00,10,,1.6,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339275,-68.301468,9/9/2009,3129,2009,,0.32,13.57,10.23,98.3,6.44,100,,0.239,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339275,-68.301308,10/14/2009,3143,2009,,0.31,7.42,11.94,99.4,6.44,46,,1.35,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339245,-68.30114,5/26/2011,3361,2011,,0.21,10.23,11.36,101.1,6.33,86,,0.919,6.52,49.80,7,,1.5,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339245,-68.30114,5/26/2011,3361,2011,,0.21,10.23,11.36,101.1,6.33,86,,0.919,6.44,49.20,6,,1.5,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,6/13/2011,3371,2011,,0.16,10.81,10.93,98.7,6.58,90,,0.266,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339142,-68.301369,7/19/2011,3380,2011,,0.04,18.79,8.37,89.9,6.46,176,,0.052,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339302,-68.301407,8/3/2011,3424,2011,,-0.10,16.96,8.83,91.3,6.72,177,,0.06,6.88,125.00,5,,3,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,0,0,9/6/2011,3432,2011,,-0.05,16.03,9.41,95.4,6.6,140,,0.142,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.33923,-68.301315,10/12/2011,3451,2011,,0.18,10.49,10.98,98.4,6.55,114,,0.121,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3392,-68.3012,5/13/2013,3605,2013,,0.13,9.1,11.34,98.3,6.74,107,0.11,0.54,6.78,73.90,8,1.65,2,<MRL 0.1,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,758,71
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3394,-68.3011,6/12/2013,3636,2013,,0.38,10.49,11.07,99.2,6.48,50,0.13,5.364,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3392,-68.3013,7/9/2013,3654,2013,,0.10,15.65,9.77,98.2,6.83,112,0.1,0.296,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3393,-68.3014,8/6/2013,3688,2013,,0.10,14.81,10.01,98.9,6.79,108,0.14,0.102,6.93,101.00,7,1.62,1.3,<MRL 0.1,0.018,<MRL 0.005,<MRL 0.08,1.3,705,68
NETNStreams,ACAD,ACBRWN,Browns Brook,44.339,-68.301,9/4/2013,3696,2013,,0.21,16.09,9.9,100.5,5.87,41,0.1,2.983,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3393,-68.3014,10/18/2013,3722,2013,,0.07,11.24,10.26,93.6,6.82,121,0,0.34,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3393,-68.3012,5/6/2015,5002,2015,,0.27,7.15,12.09,100,6.47,133,0.15,0.412,6.65,60.51,3,1.2,<MRL 1,0.061,<MRL,<MRL 0.001,0.021,<MRL 1,1054.19057142857,65.4617708333333
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3392,-68.3013,6/3/2015,5012,2015,,0.29,8.6,11.9,101.9,6.36,97,0.08,0.695,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3391,-68.3012,7/8/2015,5028,2015,,0.21,15.87,9.6,97,6.59,155,0.22,0.246,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3393,-68.3013,8/4/2015,5032,2015,,0.29,17.18,8.42,87.5,6.04,186,0.61,0.073,6.786,111.27,5.74,1.068,4.7,0.075,0.053,<MRL 0.001,<MRL 0.010,3.75,1554.8,<MRL 1
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3392,-68.3012,8/31/2015,4914,2015,,0.24,16.78,8.26,85.1,6.19,191,0.17,0,,,,,,,,,,,,
NETNStreams,ACAD,ACBRWN,Browns Brook,44.3392,-68.3013,10/1/2015,4924,2015,,0.25,13.22,10.42,99.4,5.75,59,0.04,2.138,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,,,5/31/2006,74,2006,,-0.12,11.58,9.17,84.3,5.86,28,,0.04,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,6/28/2006,4,2006,,0.04,15.13,9.31,92.6,6.19,20,,0.12,,,3,,<MRL 20,<MRL 0.06,,<MRL 0.002,<MRL 0.01,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,7/27/2006,25,2006,,-0.04,16.89,8.29,85.6,5.87,23,,0.08,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,9/1/2006,28,2006,,0.00,14.83,8.53,84.2,5.59,25,,0.05,,,5,,<MRL 4,0.05,,<MRL 0.002,0.006,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,9/13/2006,40,2006,,-0.10,13.61,8.2,78.9,5.72,25,,0.05,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344669,-68.216919,10/26/2006,72,2006,,0.07,9.02,11.17,96.7,5.67,27,,0.19,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,5/9/2007,78,2007,,0.17,10.86,10.46,94.5,6.12,26,,0.03,5.96,26.00,4,,1.8,<MRL 0.1,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,7/2/2007,90,2007,,0.02,11.88,5.53,51.1,5.08,32,,0.002,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,8/15/2007,112,2007,,-0.05,14.88,7.12,70.5,5.3,35,,0.002,6.09,123.00,7,,7.9,<MRL 0.1,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,9/18/2007,125,2007,,0.10,11.65,9.25,85.2,5.22,34,,0.002,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,10/30/2007,134,2007,,0.01,9.51,10.84,94.9,5.9,29,,0.13,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,5/15/2008,152,2008,,-0.13,9.9,10.33,91.3,6.04,25,,0.03,6.14,41.30,1,,<MRL 1,<MRL 0.1,,<MRL 0.005,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,6/16/2008,168,2008,,0.10,11.89,8.25,76.4,5.97,30,,0.01,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344791,-68.21698,7/14/2008,179,2008,,-0.03,15.34,4.76,47.6,5.51,33,,0.002,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344784,-68.216949,8/11/2008,192,2008,,0.01,14.79,8.62,85,5.94,27,,0.06,6.19,67.10,3,,2.5,<MRL 0.1,,<MRL 0.005,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344643,-68.216553,9/13/2008,204,2008,,0.14,14.41,9.7,94.9,5.87,22,,0.24,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344807,-68.217148,10/30/2008,220,2008,,-0.02,8.37,11.16,95.1,6.14,30,,0.19,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344872,-68.217026,5/14/2009,3089,2009,,0.31,11.11,10.48,95.2,6.03,30,,0.09,6.15,35.20,2,,1.2,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344795,-68.21711,6/9/2009,3101,2009,,0.01,10.66,9.34,84,5.85,31,,0.01,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344852,-68.217018,7/7/2009,3107,2009,,0.15,12.44,9.83,92.1,6.04,20,,0.13,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,8/10/2009,3118,2009,,0.00,15.72,8.14,82,5.87,25,,0.03,6.4,84.40,3,,<MRL 1,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344749,-68.216995,9/10/2009,3131,2009,,0.25,12.84,8.26,0,5.61,9,,0.01,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.345051,-68.216995,10/2/2009,3138,2009,,0.10,11.39,9.97,91.3,6.11,24,,0.06,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.34480667,-68.21702576,5/10/2010,3188,2010,,0.25,7.77,10.83,91,6.03,25,,0.045,6.49,49.20,3,,1,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,6/29/2010,3207,2010,,-0.09,15.35,9.51,95,6.3,21,,0.38,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,7/13/2010,3216,2010,,-0.10,17.15,8.53,88.6,6.25,25,,0.03,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.34485245,-68.21698761,8/11/2010,3277,2010,,0.01,17.11,6.95,72.1,5.98,29,,0.002,6.22,112.00,3,,2.4,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,9/9/2010,3283,2010,,-0.21,16.72,8.01,82.4,6.17,28,,0.002,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,10/8/2010,3300,2010,,-0.08,12.48,9.88,92.6,6.5,25,,0.31,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,5/25/2011,3358,2011,,0.15,12.32,10.35,96.8,6.35,23,,0.48,6.18,30.80,5,,1.7,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344757,-68.217117,6/8/2011,3367,2011,,0.03,11.94,9,83.4,5.64,29,,0.01,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344784,-68.217003,7/7/2011,3376,2011,,0.06,15.26,6.4,63.8,5.66,30,,0.002,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,0,0,8/9/2011,3430,2011,,-0.18,16.67,8.78,90.2,6.12,26,,0.09,6.53,65.00,4,,1.1,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.34473,-68.216881,9/13/2011,3437,2011,,-0.17,14.97,7.84,77.7,5.94,30,,0.01,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.344845,-68.217102,10/6/2011,3450,2011,,-0.01,10.77,10.49,94.6,5.88,26,,0.41,,,,,,,,,,,,
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.34491348,-68.21669769,5/14/2012,3463,2012,,0.10,9.77,10.76,94.8,6.27,22,0.04,0.09,6.52,45.10,6,1.51,<MRL 1,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,77,55
NETNStreams,ACAD,ACCADS,Cadillac Stream,44.34491348,-68.21669769,5/14/2012,3463,2012,,0.10,9.77,10.76,94.8,6.27,22,0.04,0.09,6.44,44.20,6,1.48,1.2,<MRL 0.1,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,77,55
